email,phone,city,age,interest,visit_time,affinity
testuser1@example.com,9000000001,Hyderabad,26,fitness,evening,high
testuser2@example.com,9000000002,Hyderabad,27,fitness,evening,high
testuser3@example.com,9000000003,Hyderabad,28,fitness,evening,high
testuser4@example.com,9000000004,Hyderabad,29,fitness,evening,high
testuser5@example.com,9000000005,Hyderabad,30,fitness,evening,high
testuser6@example.com,9000000006,Hyderabad,31,fitness,evening,high
testuser7@example.com,9000000007,Hyderabad,32,fitness,evening,high
testuser8@example.com,9000000008,Hyderabad,33,fitness,evening,high
testuser9@example.com,9000000009,Hyderabad,34,fitness,evening,high
testuser10@example.com,9000000010,Hyderabad,25,fitness,evening,high
testuser11@example.com,9000000011,Hyderabad,26,fitness,evening,high
testuser12@example.com,9000000012,Hyderabad,27,fitness,evening,high
testuser13@example.com,9000000013,Hyderabad,28,fitness,evening,high
testuser14@example.com,9000000014,Hyderabad,29,fitness,evening,high
testuser15@example.com,9000000015,Hyderabad,30,fitness,evening,high
testuser16@example.com,9000000016,Hyderabad,31,fitness,evening,high
testuser17@example.com,9000000017,Hyderabad,32,fitness,evening,high
testuser18@example.com,9000000018,Hyderabad,33,fitness,evening,high
testuser19@example.com,9000000019,Hyderabad,34,fitness,evening,high
testuser20@example.com,9000000020,Hyderabad,25,fitness,evening,high
testuser21@example.com,9000000021,Hyderabad,26,fitness,evening,high
testuser22@example.com,9000000022,Hyderabad,27,fitness,evening,high
testuser23@example.com,9000000023,Hyderabad,28,fitness,evening,high
testuser24@example.com,9000000024,Hyderabad,29,fitness,evening,high
testuser25@example.com,9000000025,Hyderabad,30,fitness,evening,high
testuser26@example.com,9000000026,Hyderabad,31,fitness,evening,high
testuser27@example.com,9000000027,Hyderabad,32,fitness,evening,high
testuser28@example.com,9000000028,Hyderabad,33,fitness,evening,high
testuser29@example.com,9000000029,Hyderabad,34,fitness,evening,high
testuser30@example.com,9000000030,Hyderabad,25,fitness,evening,high
testuser31@example.com,9000000031,Hyderabad,26,fitness,evening,high
testuser32@example.com,9000000032,Hyderabad,27,fitness,evening,high
testuser33@example.com,9000000033,Hyderabad,28,fitness,evening,high
testuser34@example.com,9000000034,Hyderabad,29,fitness,evening,high
testuser35@example.com,9000000035,Hyderabad,30,fitness,evening,high
testuser36@example.com,9000000036,Hyderabad,31,fitness,evening,high
testuser37@example.com,9000000037,Hyderabad,32,fitness,evening,high
testuser38@example.com,9000000038,Hyderabad,33,fitness,evening,high
testuser39@example.com,9000000039,Hyderabad,34,fitness,evening,high
testuser40@example.com,9000000040,Hyderabad,25,fitness,evening,high
testuser41@example.com,9000000041,Hyderabad,26,fitness,evening,high
testuser42@example.com,9000000042,Hyderabad,27,fitness,evening,high
testuser43@example.com,9000000043,Hyderabad,28,fitness,evening,high
testuser44@example.com,9000000044,Hyderabad,29,fitness,evening,high
testuser45@example.com,9000000045,Hyderabad,30,fitness,evening,high
testuser46@example.com,9000000046,Hyderabad,31,fitness,evening,high
testuser47@example.com,9000000047,Hyderabad,32,fitness,evening,high
testuser48@example.com,9000000048,Hyderabad,33,fitness,evening,high
testuser49@example.com,9000000049,Hyderabad,34,fitness,evening,high
testuser50@example.com,9000000050,Hyderabad,25,fitness,evening,high
testuser51@example.com,9000000051,Hyderabad,26,fitness,evening,high
testuser52@example.com,9000000052,Hyderabad,27,fitness,evening,high
testuser53@example.com,9000000053,Hyderabad,28,fitness,evening,high
testuser54@example.com,9000000054,Hyderabad,29,fitness,evening,high
testuser55@example.com,9000000055,Hyderabad,30,fitness,evening,high
testuser56@example.com,9000000056,Hyderabad,31,fitness,evening,high
testuser57@example.com,9000000057,Hyderabad,32,fitness,evening,high
testuser58@example.com,9000000058,Hyderabad,33,fitness,evening,high
testuser59@example.com,9000000059,Hyderabad,34,fitness,evening,high
testuser60@example.com,9000000060,Hyderabad,25,fitness,evening,high
testuser61@example.com,9000000061,Hyderabad,26,fitness,evening,high
testuser62@example.com,9000000062,Hyderabad,27,fitness,evening,high
